wlbWellboreName,wlbWell,wlbDrillingOperator,wlbProductionLicence,wlbStatus,wlbPurpose,wlbPurposePlanned,wlbContent,wlbWellType,wlbSubSea,wlbEntryDate,wlbCompletionDate,wlbEntryPreDrillDate,wlbCompPreDrillDate,wlbField,wlbDrillPermit,wlbDiscovery,wlbDiscoveryWellbore,wlbKellyBushElevation,wlbFinalVerticalDepth,wlbTotalDepth,wlbWaterDepth,wlbKickOffPoint,wlbMainArea,wlbDrillingFacility,wlbFacilityTypeDrilling,wlbDrillingFacilityFixedOrMoveable,wlbProductionFacility,wlbLicensingActivity,wlbMultilateral,wlbContentPlanned,wlbEntryYear,wlbCompletionYear,wlbReclassFromWellbore,wlbPluggedAbandonDate,wlbPluggedDate,wlbLicenceTargetName,wlbPlotSymbol,wlbGeodeticDatum,wlbNsDeg,wlbNsMin,wlbNsSec,wlbNsCode,wlbEwDeg,wlbEwMin,wlbEwSec,wlbEwCode,wlbNsDecDeg,wlbEwDesDeg,wlbNsUtm,wlbEwUtm,wlbUtmZone,wlbNamePart1,wlbNamePart2,wlbNamePart3,wlbNamePart4,wlbNamePart5,wlbNamePart6,wlbFactPageUrl,wlbFactMapUrl,wlbDiskosWellboreType,wlbDiskosWellboreParent,wlbNpdidWellbore,dscNpdidDiscovery,fldNpdidField,wlbWdssQcDate,wlbReleasedDate,prlNpdidProductionLicence,prlNpdidProdLicenceTarget,fclNpdidFacilityDrilling,fclNpdidFacilityProducing,wlbNpdidWellboreReclass,wlbDateUpdated,wlbDateUpdatedMax,datesyncNPD
1/3-K-5 A,1/3-K-5,BP Norge AS,065 ,CLOSED,PRODUCTION,PRODUCTION,OIL,DEVELOPMENT, NO,02.07.2007,10.07.2007,,,TAMBAR ØST,2809-P,1/3-K-5 Tambar Øst,NO,45.0,4190.0,6301.0,67.4,4843.0,NORTH SEA,MÆRSK GUARDIAN,JACK-UP 3 LEGS,MOVEABLE,TAMBAR,6,NO,OIL,2007,2007,,,,,50,ED50  ,56,58,57.97,N,2,57,31.67,E,56.982769,2.958797,6315610.10,497495.74,31,1,3,K,5,A,,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=5486,https://factmaps.npd.no/factmaps/3_0/?run=WellboreDevByNPDID&scale=100000&NPDID=5486,sidetrack           ,1/3-K-5                                 ,5486,4999519,4999528,,10.07.2009,21316,,292114,280793,0,28.10.2021,06.10.2015,28.04.2022
1/3-K-6,1/3-K-6,BP Amoco Norge AS,065 ,CLOSED,PRODUCTION,PRODUCTION,OIL,DEVELOPMENT, NO,06.06.2001,18.08.2001,,,TAMBAR,1945-P,1/3-3 Tambar,NO,50.0,4204.0,5713.0,67.4,,NORTH SEA,TRANSOCEAN NORDIC,JACK-UP 3 LEGS,MOVEABLE,TAMBAR,6,NO,OIL,2001,2001,,,,,50,ED50  ,56,58,57.9,N,2,57,31.72,E,56.982750,2.958811,6315607.94,497496.58,31,1,3,K,6,,,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=4325,https://factmaps.npd.no/factmaps/3_0/?run=WellboreDevByNPDID&scale=100000&NPDID=4325,initial             ,                                        ,4325,43826,1028599,,18.08.2003,21316,,296191,280793,0,22.01.2022,06.10.2015,28.04.2022
1/6-A-1,1/6-A-1,Phillips Petroleum Company Norway,011 ,P&A,PRODUCTION,PRODUCTION,GAS,DEVELOPMENT, NO,25.06.1978,08.03.1979,,,ALBUSKJELL,113-P,1/6-1 Albuskjell,NO,41.0,3397.9,3640.8,69.0,,NORTH SEA,ALBUSKJELL A,JACKET 12 LEGS,FIXED,ALBUSKJELL A,1-A,NO,GAS,1978,1979,,24.05.2004,,,90,ED50  ,56,38,33.73,N,2,56,24.23,E,56.642703,2.940064,6277755.92,496324.01,31,1,6,A,1,,,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=526,https://factmaps.npd.no/factmaps/3_0/?run=WellboreDevByNPDID&scale=100000&NPDID=526,initial             ,                                        ,526,43844,43437,,08.03.1981,20844,,271357,271357,0,23.02.2021,12.07.2019,28.04.2022
1/6-A-3,1/6-A-3,Phillips Petroleum Company Norway,011 ,P&A,PRODUCTION,PRODUCTION,GAS,DEVELOPMENT, NO,26.07.1979,17.09.1979,,,ALBUSKJELL,154-P,1/6-1 Albuskjell,NO,41.0,3336.4,3641.1,69.0,,NORTH SEA,ALBUSKJELL A,JACKET 12 LEGS,FIXED,ALBUSKJELL A,1-A,NO,GAS,1979,1979,,30.12.2004,,,90,ED50  ,56,38,33.64,N,2,56,23.9,E,56.642678,2.939972,6277753.14,496318.38,31,1,6,A,3,,,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=527,https://factmaps.npd.no/factmaps/3_0/?run=WellboreDevByNPDID&scale=100000&NPDID=527,initial             ,                                        ,527,43844,43437,,17.09.1981,20844,,271357,271357,0,23.02.2021,29.07.2019,28.04.2022
1/6-A-4,1/6-A-4,Phillips Petroleum Company Norway,011 ,P&A,PRODUCTION,PRODUCTION,GAS,DEVELOPMENT, NO,03.09.1978,23.11.1978,,,ALBUSKJELL,117-P,1/6-1 Albuskjell,NO,41.0,3430.5,3634.4,69.0,,NORTH SEA,ALBUSKJELL A,JACKET 12 LEGS,FIXED,ALBUSKJELL A,1-A,NO,GAS,1978,1978,,09.12.2004,,,90,ED50  ,56,38,33.64,N,2,56,23.73,E,56.642678,2.939925,6277753.15,496315.49,31,1,6,A,4,,,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=528,https://factmaps.npd.no/factmaps/3_0/?run=WellboreDevByNPDID&scale=100000&NPDID=528,initial             ,                                        ,528,43844,43437,,23.11.1980,20844,,271357,271357,0,23.02.2021,29.07.2019,28.04.2022
1/6-A-7,1/6-A-7,Phillips Petroleum Company Norway,011 ,P&A,PRODUCTION,PRODUCTION,GAS,DEVELOPMENT, NO,21.02.1986,07.06.1986,,,ALBUSKJELL,346-P,1/6-1 Albuskjell,NO,41.0,3425.0,3689.0,69.0,,NORTH SEA,ALBUSKJELL A,JACKET 12 LEGS,FIXED,ALBUSKJELL A,1-A,NO,GAS,1986,1986,,09.05.2004,,,90,ED50  ,56,38,33.73,N,2,56,23.85,E,56.642703,2.939958,6277755.93,496317.53,31,1,6,A,7,,,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=903,https://factmaps.npd.no/factmaps/3_0/?run=WellboreDevByNPDID&scale=100000&NPDID=903,initial             ,                                        ,903,43844,43437,,07.06.1988,20844,,271357,271357,0,13.12.2021,09.03.2019,28.04.2022
1/6-A-8,1/6-A-8,Phillips Petroleum Company Norway,011 ,JUNKED,PRODUCTION,PRODUCTION,NOT APPLICABLE,DEVELOPMENT, NO,18.09.1979,04.01.1980,,,ALBUSKJELL,162-P,1/6-1 Albuskjell,NO,41.0,3349.6,3851.1,69.0,,NORTH SEA,ALBUSKJELL A,JACKET 12 LEGS,FIXED,ALBUSKJELL A,1-A,NO,GAS,1979,1980,,20.11.2004,,,81,ED50  ,56,38,33.7,N,2,56,23.68,E,56.642694,2.939911,6277755.00,496314.64,31,1,6,A,8,,,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=529,https://factmaps.npd.no/factmaps/3_0/?run=WellboreDevByNPDID&scale=100000&NPDID=529,initial             ,                                        ,529,43844,43437,,04.01.1982,20844,,271357,271357,0,23.02.2021,29.07.2019,28.04.2022
1/6-A-10,1/6-A-10,Phillips Petroleum Company Norway,011 ,P&A,PRODUCTION,PRODUCTION,GAS,DEVELOPMENT, NO,12.01.1981,26.05.1981,,,ALBUSKJELL,198-P,1/6-1 Albuskjell,NO,41.0,4173.0,4176.0,69.0,,NORTH SEA,ALBUSKJELL A,JACKET 12 LEGS,FIXED,ALBUSKJELL A,1-A,NO,GAS,1981,1981,,15.07.2004,,,90,ED50  ,56,38,33.83,N,2,56,23.97,E,56.642731,2.939992,6277759.02,496319.58,31,1,6,A,10,,,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=530,https://factmaps.npd.no/factmaps/3_0/?run=WellboreDevByNPDID&scale=100000&NPDID=530,initial             ,                                        ,530,43844,43437,,26.05.1983,20844,,271357,271357,0,23.02.2021,21.04.2021,28.04.2022
1/6-A-13,1/6-A-13,Phillips Petroleum Company Norway,011 ,P&A,PRODUCTION,PRODUCTION,GAS,DEVELOPMENT, NO,09.01.1980,16.04.1980,,,ALBUSKJELL,172-P,1/6-1 Albuskjell,NO,41.0,3411.5,4444.0,69.0,,NORTH SEA,ALBUSKJELL A,JACKET 12 LEGS,FIXED,ALBUSKJELL A,1-A,NO,GAS,1980,1980,,18.12.2004,,,90,ED50  ,56,38,33.93,N,2,56,24.08,E,56.642758,2.940022,6277762.11,496321.46,31,1,6,A,13,,,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=531,https://factmaps.npd.no/factmaps/3_0/?run=WellboreDevByNPDID&scale=100000&NPDID=531,initial             ,                                        ,531,43844,43437,,16.04.1982,20844,,271357,271357,0,23.02.2021,29.07.2019,28.04.2022
1/6-A-15,1/6-A-15,Phillips Petroleum Company Norway,011 ,P&A,PRODUCTION,PRODUCTION,GAS,DEVELOPMENT, NO,14.01.1979,05.07.1979,,,ALBUSKJELL,138-P,1/6-1 Albuskjell,NO,41.0,3440.9,3596.6,69.0,,NORTH SEA,ALBUSKJELL A,JACKET 12 LEGS,FIXED,ALBUSKJELL A,1-A,NO,GAS,1979,1979,,28.08.2004,,,90,ED50  ,56,38,33.86,N,2,56,23.75,E,56.642739,2.939931,6277759.95,496315.83,31,1,6,A,15,,,https://factpages.npd.no/factpages/default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=532,https://factmaps.npd.no/factmaps/3_0/?run=WellboreDevByNPDID&scale=100000&NPDID=532,initial             ,                                        ,532,43844,43437,,05.07.1981,20844,,271357,271357,0,13.12.2021,09.03.2019,28.04.2022
